sequenceID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:68270000-75427379,9.63445655392233,486029,490393,258.75349871489834,1.0089809640596838,29,13.164317355548745,0.9948402425242934,283,10.362802848705185,107.38768288113224,383,383,7.0,11.0,18.0,12.0,12.0,0,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr4:75452279-190000000,2.208881674622507,8161018,8224196,29.14834425714314,1.007741559661008,74,13.714760339947786,0.9933913201133188,336,9.18277045070138,84.32327315027443,344,344,7.0,11.0,18.0,12.0,12.0,0,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr5:100000-17500000,1.3846864619361328,1249433,1256582,4.363824448386293,1.005722600349599,61,13.814282158387044,0.9933207904929304,138,9.04558088956876,81.82253362973155,137,137,7.0,11.0,18.0,12.0,12.0,0,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr6:62178589-95680543,1.178262695105619,2494810,2518769,2.4825931070156875,1.009603941624389,46,14.421453337127875,0.9932381450557832,96,9.19950221782831,84.63084105582801,95,95,8.0,11.0,19.0,13.0,13.0,0,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr7:62500000-74715724,2.3921159395032965,853875,876315,18.94143306246076,1.026281395147293,100,17.253307568438004,0.9954662817393182,252,12.851584423267678,165.1632221883764,259,259,8.0,15.0,23.0,15.0,15.0,0,1
H3K9me3_TDH_BP/samples/bcell/ERS206573/problems/chr8:48135599-86500000,19.85336260478875,2709585,2731143,994.5498731650456,1.007956571931337,89,13.737124688836111,0.9960373895003448,607,11.85867033034747,140.62806200386336,807,807,7.0,11.0,18.0,12.0,12.0,0,1
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr4:68270000-75427379,7.479484255410631,435588,439350,168.9329277522818,1.0086389171394003,32,13.255025390965775,0.9946358199885396,272,10.154849486445864,103.1209680923698,334,334,7.0,11.0,18.0,12.0,12.0,0,1
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr4:75452279-190000000,2.0566999406439064,7186809,7235330,19.94067308665784,1.0067515369827609,43,13.548293129816027,0.9933981205131012,291,9.100520609986274,82.81947537278494,300,300,7.0,11.0,18.0,12.0,12.0,0,1
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr5:100000-17500000,1.2275846755734574,1112757,1118053,2.735874650898821,1.004760252921575,45,13.748792413797442,0.992917680174752,82,8.685144244534122,75.43173054836417,81,81,8.0,10.0,18.0,12.0,12.0,0,1
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr6:62178589-95680543,1.278540178221326,2178684,2197995,2.8639054991000727,1.0088640706334977,52,14.056589666055288,0.992989002681829,85,8.954250824146708,80.17860782173202,84,84,8.0,11.0,19.0,13.0,13.0,0,1
H3K9me3_TDH_BP/samples/bcell/ERS257189/problems/chr7:62500000-74715724,1.7306362848651118,704484,718812,5.4754022217319225,1.020339738503271,98,16.206447555941654,0.995552878021606,150,12.290189400738784,151.04875550603194,149,149,8.0,14.0,22.0,13.0,13.0,0,1
