sequenceID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,117,6.045983791,49.92495677,2182138,1656457,1.317353434,0.999361419,4,12,843,2458.681185,20.551014,49.58509035,871,871,8,7,7,0,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,177,7.074759117,74.50159287,2217322,1654359,1.340291521,0.999491671,5,14,1068,3343.646392,23.4260762,57.82427165,1342,1342,9,8,8,0,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876,156,5.101530714,37.19318166,1151921,811776,1.419015121,0.999486207,6,20,878,4195.683753,30.39898322,64.77409786,1218,1218,14,10,10,0,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr14:19050000-107289540,303,7.056085525,70.36633289,9541155,7244931,1.316942331,0.999411615,4,13,1101,2781.435884,20.83255769,52.73932009,1140,1140,9,7,7,0,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr16:46510000-88389383,167,6.150728354,52.54474115,5380804,3993542,1.347376676,0.999458711,5,15,1041,3137.131601,23.76598143,56.01010267,1102,1102,10,8,8,0,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr1:206482221-223747846,113,6.344386588,61.61546559,1922040,1450386,1.325192966,0.999361207,4,13,942,2470.638143,21.24036429,49.70551421,1130,1130,9,7,7,0,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr3:60000-66170270,191,6.424322459,58.94750772,7525805,5740811,1.310930862,0.99935841,4,13,1074,2370.589653,20.13532478,48.68870149,1252,1252,9,7,7,0,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr4:75452279-190000000,622,7.095546635,68.43459607,9761953,7780681,1.254640083,0.999094062,4,10,791,1426.914713,15.08262464,37.77452465,829,829,6,6,6,0,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chrX:37148256-49242997,143,6.754591854,62.36282296,1241760,986274,1.259042882,0.999059687,4,11,599,1310.633516,15.83472646,36.20267278,666,666,7,7,7,0,1
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr10:18024675-38818835,203,5.250515038,37.88626196,1327626,982031,1.351920002,0.999103416,2,10,649,1877.970278,17.91351393,43.33555444,671,671,8,4,4,0,1
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr11:69774695-87688378,76,6.420349445,57.6506272,1307908,954362,1.370454157,0.999311642,3,11,849,2517.264257,19.34286151,50.17234554,1002,1002,8,5,5,0,1
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr12:145739-7189876,303,4.742039303,33.3117632,651408,444518,1.465428769,0.999207092,3,19,720,3121.260724,25.63103856,55.86824433,944,944,16,6,6,0,1
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr14:19050000-107289540,150,6.517213991,57.80475264,5775882,4257591,1.356608316,0.999313511,2,9,950,2517.975159,18.33031496,50.17942964,1001,1001,7,4,4,0,1
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr16:46510000-88389383,144,5.320872998,37.83770996,3151216,2260752,1.393880175,0.999259922,3,12,763,2507.921016,20.64857667,50.07914752,823,823,9,5,5,0,1
