sequenceID,X1.lower,X1.upper,X2.lower,X2.upper,X3.lower,X3.upper,X4.lower,X4.upper,X5.lower,X5.upper,X6.lower,X6.upper,X7.lower,X7.upper,X8.lower,X8.upper,X9.lower,X9.upper,X10.lower,X10.upper,X11.lower,X11.upper,X12.lower,X12.upper,X13.lower,X13.upper,X14.lower,X14.upper,X15.lower,X15.upper,X16.lower,X16.upper,X17.lower,X17.upper,X18.lower,X18.upper,X19.lower,X19.upper,X20.lower,X20.upper
100_chr1,-1.6161842252440692,2.1279031109497737,-0.53165239588634,2.322260321056092,0.8567661071891911,1.2570384000026602,-1.3634224862471456,2.479591366594832,-1.837339262773912,0.0378641548086307,-1.837341487933542,0.03781020081805764,-1.6009351138719832,2.5142520803337622,-0.8348662663029245,2.2587524784103152,-2.0203977392828363,1.1272615237918013,-1.8243215795441756,1.8825272349768056,1.4085540527938385,1.4085540527938385,-1.9107744846370631,1.6714081904990508,1.075551247908906,1.075551247908906,,,0.8582361537896109,0.8582361537896109,,,0.7278215638917686,0.7278215638917686,-1.9034870288919405,2.015823318098574,0.7313580123429607,0.7313580123429607,0.7313580123429607,0.7313580123429607
100_chr11,-2.1904687486530747,1.4771541080644965,-1.994153249066585,0.923890338603087,0.8866971168620338,1.2570387452123837,-2.1897586736777157,1.5470546013311832,-1.745227356929517,0.14394289633855806,-1.7452298562112647,0.14388770681216556,-2.242111962475325,1.6169928786582837,-2.20398528230362,1.161509412475425,-1.9143519227341153,1.1544746766457186,-1.8131864429291937,1.9484554157379534,1.1415000862555864,1.1415000862555864,-1.7019075855978782,1.9170454285044798,0.9691842917855641,0.9691842917855641,,,0.8270009964341093,0.8270009964341093,,,,,-1.9034870288919405,2.015823318098574,,,,
100_chr17,-2.155243768229411,1.5170687190111494,-2.648364221495285,0.29836554573557805,0.8886090458090515,1.2570388112926267,-2.354687023060251,1.3609315591529594,-2.249270225072209,-0.4621520246982982,-2.2492705397246198,-0.4621981294494617,-2.220119020137199,1.6515443273603219,-2.5543166795250727,0.8807310254414915,-1.934761891913492,1.1491773745720417,-1.8311967654627352,1.8418236224497377,,,-2.0440529053655947,1.4967198726367315,1.0092595623110945,1.0092595623110945,,,0.9593796838517127,0.9593796838517127,0.9021994956644791,0.9021994956644791,0.9344489452826967,0.9344489452826967,-1.9034870288919405,2.015823318098574,0.9336961043464088,0.9336961043464088,0.9336961043464088,0.9336961043464088
100_chr2,-1.8230530935579736,1.8934882602334255,-1.1750220399917453,1.7071029326871212,0.8575371227490314,1.2570384019476881,-1.7333504478774557,2.0621183999392088,-1.645735890379604,0.25635530035469856,-1.645738625436369,0.25629896566533716,-1.9562239068606861,2.0425373102597724,-1.3599571432459925,1.8379436527866346,-1.8932583537753556,1.159979293305893,-1.8000039845507985,2.0265118045545023,1.305594598814964,1.305594598814964,-1.7353433861668948,1.87975006632837,1.012814783269005,1.012814783269005,,,0.8294342259552394,0.8294342259552394,,,,,-1.9034870288919405,2.015823318098574,,,,
100_chr3,-1.9367219357845897,1.7646845738818229,-1.9525848703051452,0.9636359834512405,,,-1.8425909759898786,1.938838327267149,-1.6005434905717157,0.3066971419084439,-1.6005463123603372,0.30664034913388605,-2.1134797760081723,1.8145185121978407,-1.7193157807851094,1.5499451233699801,-1.5165284135376629,1.2633855453888119,-1.807781923196714,1.98045596825159,1.0909750729705538,1.0909750729705538,-1.4642989597524703,2.163288866423045,0.961531748408116,0.961531748408116,,,0.8192108465714782,0.8192108465714782,,,,,-1.506096984524789,1.8800582906512704,,,,
100_chr4,-2.1295687937526964,1.5461619365687511,-2.0222745786231826,0.89700210112278,,,-2.0868360196654976,1.6632040051299555,-1.6714676944791993,0.22749255500093568,-1.6714703744955397,0.2274364982258703,-2.2337925925320206,1.6301025745540003,-1.5231071978578257,1.7071921212955203,-1.4578406729975248,1.2803588511693906,-1.8111303330804844,1.960629650066494,1.0655793489474148,1.0655793489474148,-1.5321913919260806,2.0960521044064535,0.9143674970580014,0.9143674970580014,,,,,,,,,-1.9034870288919405,2.015823318098574,,,,
101_chr1,-1.8041946614866902,1.914857729234427,-1.0549992444757663,1.8218626842317462,0.8892901720676931,1.2570388375195805,-1.6171758178570599,2.1932240415990236,-2.295314442365309,-0.5208541320662334,-2.2953144711901743,-0.520899096120047,-1.5893664400618561,2.5287584595503207,-0.7650336379228975,2.314715455275291,-2.4000496527873008,1.0361748750140733,-1.786739839438951,2.105059060194435,1.566948096630561,1.566948096630561,-2.2911680003911243,1.1243420083712863,1.0935504366337896,1.0935504366337896,,,0.8218949832447728,0.8218949832447728,,,0.5370720729224338,0.5370720729224338,-1.9034870288919405,2.015823318098574,,,,
101_chr11,-2.2268981815941515,1.4358747578735347,-1.3904804373742081,1.501092410147976,0.8642845988473103,1.2570384259116325,-1.9288297833845718,1.8415163390454836,-1.1231822797800293,0.8130642383766826,-1.123185270798837,0.8130047218164691,-2.2365559329610236,1.6257534969980956,-1.4984651738541288,1.7269407883286476,-1.5005789406904695,1.267975384174215,-1.797844934265072,2.039296719277445,1.2431329942303728,1.2431329942303728,-1.1708347803710448,2.429827978375215,0.9885706740560785,0.9885706740560785,,,,,,,,,-1.9034870288919405,2.015823318098574,,,,
101_chr17,-2.1727107001133845,1.497276342683108,-2.0322486226141336,0.8874654086575902,0.9048221353214652,1.2570400967268764,-2.3858250252560538,1.325792129169713,-2.127511713777218,-0.3097595236431516,-2.1275127127747915,-0.3098083746936027,-2.2040143027757573,1.6766335055488693,-1.5765147775273363,1.6643899943264842,-2.4316285487812705,1.0290475874435945,-1.825172506342156,1.8774893325530684,1.2221806141070726,1.2221806141070726,-2.131253446171607,1.3732989772083783,1.0602119798612566,1.0602119798612566,0.7972418776193636,0.7972418776193636,1.0055342226950281,1.0055342226950281,0.9840549941371384,0.9840549941371384,0.9945366934917793,0.9945366934917793,-1.506096946433693,1.8182675498106773,0.995674470748723,0.995674470748723,0.995674470748723,0.995674470748723
101_chr2,-1.8230530935579736,1.8934882602334255,0.9283748886482499,3.7182619205123046,1.0369126974223182,1.3043685768117463,-1.3988835046729946,2.439572583865811,1.7464608811010915,3.1683994260984036,1.7464808706428956,3.1683722809884785,-1.9422451451515672,2.0621679090383247,0.9514321649821795,3.6901936659487546,-2.170580359173123,1.090041308347633,-1.7813174948153687,2.1371710283629,1.5554743946084149,1.5554743946084149,-1.0599014054147329,2.52177760993186,1.2279285547115817,1.2279285547115817,,,1.0027602889914076,1.0027602889914076,0.9756831363301603,0.9756831363301603,1.0020935806102949,1.0020935806102949,-1.9034870288919405,2.015823318098574,0.9890756434238452,0.9890756434238452,0.9890756434238452,0.9890756434238452
